iter	MultiClass
0	1.523450359
1	1.291132984
2	1.117428042
3	0.9870814989
4	0.8819482451
5	0.7940912061
6	0.7201193487
7	0.6605306833
8	0.6045727288
9	0.5607411393
10	0.5192917978
11	0.4819062593
12	0.4505561621
13	0.4200537283
14	0.3956131605
15	0.3745444705
16	0.355107754
17	0.336941262
18	0.3168280085
19	0.3014959442
20	0.2856012273
21	0.2727805583
22	0.2598174477
23	0.2510144625
24	0.2406764529
25	0.2274271996
26	0.2180132535
27	0.2070483521
28	0.2014268685
29	0.1955635293
30	0.1862153936
31	0.1783451053
32	0.1720843748
33	0.1662637187
34	0.1620249189
35	0.1567030856
36	0.1506487121
37	0.1461241368
38	0.141807086
39	0.1384135084
40	0.1340704633
41	0.1300819072
42	0.1278039002
43	0.1244113768
44	0.120346741
45	0.117933497
46	0.1155844148
47	0.1136034287
48	0.1105353259
49	0.1086051571
50	0.1071170231
51	0.1057378673
52	0.1025346815
53	0.1008139844
54	0.09823963387
55	0.09614498972
56	0.0947848422
57	0.09381273186
58	0.09182392004
59	0.08889511113
60	0.08765033812
61	0.08604513611
62	0.08467590799
63	0.08298428626
64	0.08120331012
65	0.07984556577
66	0.07913109433
67	0.07747761141
68	0.07696610323
69	0.07674811542
70	0.07621290605
71	0.07545433332
72	0.07408861312
73	0.07290480511
74	0.0724804206
75	0.0714383745
76	0.07090809577
77	0.06998217164
78	0.06860446493
79	0.06823397811
80	0.06773821015
81	0.06727482564
82	0.06685753637
83	0.06615801341
84	0.06558474177
85	0.06540952534
86	0.06462011634
87	0.06351766707
88	0.06313623814
89	0.06242979931
90	0.06183584084
91	0.06121752638
92	0.06076080164
93	0.05944109253
94	0.05907657353
95	0.05876772836
96	0.05788664083
97	0.05760581705
98	0.0574298332
99	0.05666517204
100	0.05643386782
101	0.05587458971
102	0.05539394968
103	0.05491022625
104	0.05420596547
105	0.05388947831
106	0.05332339015
107	0.05293574401
108	0.05257655703
109	0.05239239488
110	0.05167846062
111	0.05144729069
112	0.05063804694
113	0.0501939417
114	0.04952667479
115	0.04892279337
116	0.04846422941
117	0.04790265114
118	0.04758052226
119	0.04686985988
120	0.04661444728
121	0.04632502349
122	0.04598461233
123	0.04588476221
124	0.04564510237
125	0.04525037923
126	0.04482344668
127	0.04474779601
128	0.04463413679
129	0.04444349839
130	0.04396827425
131	0.04388166809
132	0.04376901351
133	0.04372786103
134	0.04357035069
135	0.04306923198
136	0.04260618396
137	0.04252566781
138	0.04242906988
139	0.04209440243
140	0.04183664544
141	0.04152122894
142	0.04115813521
143	0.040948768
144	0.04066250909
145	0.04037492249
146	0.04001141259
147	0.03995002427
148	0.03962174735
149	0.03927939595
150	0.03891522815
151	0.03849609205
152	0.03816239579
153	0.03802349591
154	0.03778279119
155	0.03757487307
156	0.03751561299
157	0.0374143611
158	0.0373059613
159	0.0370647925
160	0.03685461668
161	0.03665849148
162	0.03623595546
163	0.03594140147
164	0.035871855
165	0.03549711686
166	0.03534411848
167	0.03505559734
168	0.03464217737
169	0.0345777876
170	0.03455368908
171	0.03433424452
172	0.03421177734
173	0.03410456502
174	0.03405892456
175	0.03399571701
176	0.03386936284
177	0.03375834335
178	0.03361838491
179	0.03350301895
180	0.03341611414
181	0.03340988637
182	0.03315717436
183	0.03300359481
184	0.03287438442
185	0.03274854154
186	0.03251334776
187	0.03249518497
188	0.03233640112
189	0.03222759672
190	0.03178894315
191	0.03151171372
192	0.03141915961
193	0.03115901522
194	0.03106181121
195	0.03099253228
196	0.03080642803
197	0.03067637415
198	0.03057178108
199	0.03040533561
200	0.03034478889
201	0.03014310921
202	0.03002410141
203	0.02991541392
204	0.02983634309
205	0.02980262955
206	0.02970075016
207	0.02952344628
208	0.02938387912
209	0.02930711917
210	0.0291908012
211	0.0290851373
212	0.02904284795
213	0.02900828817
214	0.0289450803
215	0.02880742204
216	0.02869934897
217	0.02864353683
218	0.02849869755
219	0.02837585453
220	0.0282320034
221	0.02801226007
222	0.02781773362
223	0.02775507348
224	0.02741128383
225	0.027394546
226	0.02726358892
227	0.02719901775
228	0.02708659468
229	0.02693685371
230	0.02687100312
231	0.0268196285
232	0.02674419857
233	0.02666946366
234	0.02654833479
235	0.02647450055
236	0.02634634998
237	0.02626745236
238	0.02623215795
239	0.02616804641
240	0.0260076443
241	0.02597458479
242	0.02583695929
243	0.02583363663
244	0.02582326108
245	0.02578302136
246	0.02570280337
247	0.02569442048
248	0.02567317097
249	0.02551962291
250	0.02538467597
251	0.0251576954
252	0.02507343687
253	0.02499636975
254	0.02487498429
255	0.02473863987
256	0.02473576971
257	0.02466481348
258	0.02460847048
259	0.02451271728
260	0.02420756024
261	0.02414238044
262	0.02410245847
263	0.02409773739
264	0.02406616223
265	0.02402797104
266	0.02398325208
267	0.02397843532
268	0.02393513925
269	0.02386998973
270	0.02382407884
271	0.02370079643
272	0.02363519899
273	0.02347732371
274	0.02342612742
275	0.02342320797
276	0.02326008157
277	0.02321574983
278	0.02318132722
279	0.02313278848
280	0.02312876443
281	0.0230031148
282	0.02291610879
283	0.02274513103
284	0.02267416232
285	0.02263530974
286	0.02255832407
287	0.02250770847
288	0.02241714715
289	0.02241323756
290	0.02232177339
291	0.0222684094
292	0.02220553733
293	0.02216900931
294	0.02213787913
295	0.02209892777
296	0.02205922056
297	0.02202240396
298	0.02199268531
299	0.0219495193
300	0.02182299367
301	0.0217136137
302	0.02162803416
303	0.02156656942
304	0.02152641099
305	0.02149719094
306	0.02144634513
307	0.02139144984
308	0.02135326047
309	0.02131263743
310	0.02125678234
311	0.02114277208
312	0.0211248676
313	0.02104306407
314	0.02101330856
315	0.02097474526
316	0.0209606213
317	0.02087378108
318	0.02083804837
319	0.02079981294
320	0.02071795106
321	0.02066322963
322	0.02058358306
323	0.02053050763
324	0.02043707423
325	0.02041839425
326	0.02039822891
327	0.02035242703
328	0.02026896201
329	0.02017732052
330	0.0200739038
331	0.01999851789
332	0.01996547289
333	0.01995133717
334	0.01990131013
335	0.01988699074
336	0.01985317954
337	0.01981713963
338	0.01981522976
339	0.01962991373
340	0.01958637648
341	0.01954003768
342	0.01946959188
343	0.01945147818
344	0.01938272791
345	0.019293558
346	0.01924049962
347	0.01921584911
348	0.01919623819
349	0.01912539386
350	0.01907473463
351	0.01903200177
352	0.01895982503
353	0.01888882398
354	0.01882998067
355	0.01879189396
356	0.01876982541
357	0.01871756309
358	0.01868247019
359	0.01866021818
360	0.01864403222
361	0.01855163348
