iter	Passed	Remaining
0	90	90228
1	110	55088
2	135	44923
3	157	39093
4	181	36076
5	204	33918
6	228	32399
7	248	30757
8	267	29503
9	287	28506
10	308	27778
11	329	27091
12	349	26498
13	369	26050
14	391	25698
15	413	25407
16	434	25142
17	455	24844
18	476	24622
19	495	24266
20	516	24055
21	534	23761
22	555	23578
23	573	23320
24	593	23138
25	616	23098
26	635	22894
27	654	22735
28	672	22531
29	689	22302
30	710	22193
31	728	22046
32	748	21920
33	770	21901
34	790	21781
35	809	21675
36	829	21581
37	846	21425
38	864	21295
39	881	21155
40	900	21064
41	919	20982
42	936	20840
43	954	20749
44	976	20717
45	995	20645
46	1013	20549
47	1031	20465
48	1054	20469
49	1071	20367
50	1088	20259
51	1105	20156
52	1124	20099
53	1143	20030
54	1162	19966
55	1181	19917
56	1199	19839
57	1219	19813
58	1238	19753
59	1260	19743
60	1278	19686
61	1299	19663
62	1317	19602
63	1336	19544
64	1354	19488
65	1373	19431
66	1390	19364
67	1410	19329
68	1426	19248
69	1442	19166
70	1459	19096
71	1477	19042
72	1497	19016
73	1516	18974
74	1532	18904
75	1553	18889
76	1570	18821
77	1587	18767
78	1609	18763
79	1626	18701
80	1642	18637
81	1659	18578
82	1676	18525
83	1694	18481
84	1713	18442
85	1729	18377
86	1746	18327
87	1765	18295
88	1783	18254
89	1803	18237
90	1824	18221
91	1842	18180
92	1862	18159
93	1882	18145
94	1902	18123
95	1921	18093
96	1942	18079
97	1959	18037
98	1977	17998
99	1997	17981
100	2015	17940
101	2034	17914
102	2053	17880
103	2070	17835
104	2089	17806
105	2107	17775
106	2129	17770
107	2147	17735
108	2165	17702
109	2183	17663
110	2203	17644
111	2222	17617
112	2241	17595
113	2259	17557
114	2281	17554
115	2300	17534
116	2319	17507
117	2338	17477
118	2356	17447
119	2377	17435
120	2395	17404
121	2413	17372
122	2432	17345
123	2449	17308
124	2468	17277
125	2486	17246
126	2506	17228
127	2522	17182
128	2538	17139
129	2555	17103
130	2578	17104
131	2596	17075
132	2615	17052
133	2631	17007
134	2649	16978
135	2669	16956
136	2687	16932
137	2703	16889
138	2719	16848
139	2738	16825
140	2758	16804
141	2776	16777
142	2794	16748
143	2813	16722
144	2830	16690
145	2849	16669
146	2870	16657
147	2888	16629
148	2907	16603
149	2926	16583
150	2945	16561
151	2964	16537
152	2981	16505
153	2998	16473
154	3016	16444
155	3033	16414
156	3049	16373
157	3065	16336
158	3083	16310
159	3101	16281
160	3119	16254
161	3136	16223
162	3154	16199
163	3173	16179
164	3191	16148
165	3210	16129
166	3228	16103
167	3246	16079
168	3266	16063
169	3285	16042
170	3303	16012
171	3321	15990
172	3341	15972
173	3357	15940
174	3374	15906
175	3391	15879
176	3407	15846
177	3424	15812
178	3441	15783
179	3459	15758
180	3475	15727
181	3492	15695
182	3511	15674
183	3529	15652
184	3547	15627
185	3564	15600
186	3585	15587
187	3602	15559
188	3621	15540
189	3639	15515
190	3660	15504
191	3680	15488
192	3700	15473
193	3720	15455
194	3740	15442
195	3759	15421
196	3778	15401
197	3796	15376
198	3814	15352
199	3832	15330
200	3851	15308
201	3871	15292
202	3887	15263
203	3906	15241
204	3925	15221
205	3942	15195
206	3960	15172
207	3978	15149
208	3996	15124
209	4014	15101
210	4031	15076
211	4049	15050
212	4066	15024
213	4082	14994
214	4099	14968
215	4119	14951
216	4135	14923
217	4152	14896
218	4169	14869
219	4186	14843
220	4204	14821
221	4224	14804
222	4244	14788
223	4262	14766
224	4282	14751
225	4298	14722
226	4318	14706
227	4335	14678
228	4352	14654
229	4371	14634
230	4388	14608
231	4404	14582
232	4422	14557
233	4438	14529
234	4457	14509
235	4474	14484
236	4493	14466
237	4509	14439
238	4525	14409
239	4542	14385
240	4561	14365
241	4577	14337
242	4596	14319
243	4612	14291
244	4628	14264
245	4649	14251
246	4667	14229
247	4684	14203
248	4701	14178
249	4718	14156
250	4737	14136
251	4759	14127
252	4777	14105
253	4794	14080
254	4814	14065
255	4832	14045
256	4848	14018
257	4866	13996
258	4883	13972
259	4902	13953
260	4924	13943
261	4941	13919
262	4959	13897
263	4975	13872
264	4994	13851
265	5009	13823
266	5027	13802
267	5044	13777
268	5061	13755
269	5079	13734
270	5099	13717
271	5116	13695
272	5133	13671
273	5155	13660
274	5174	13641
275	5190	13615
276	5209	13598
277	5228	13577
278	5245	13556
279	5264	13538
280	5282	13516
281	5301	13498
282	5321	13483
283	5341	13466
284	5361	13449
285	5379	13431
286	5398	13412
287	5416	13391
288	5435	13372
289	5452	13348
290	5471	13329
291	5490	13312
292	5509	13295
293	5527	13272
294	5546	13254
295	5564	13234
296	5583	13215
297	5601	13194
298	5618	13171
299	5636	13151
300	5656	13136
301	5677	13122
302	5696	13102
303	5713	13080
304	5730	13058
305	5748	13038
306	5768	13020
307	5786	12999
308	5802	12975
309	5819	12953
310	5839	12937
311	5858	12919
312	5876	12897
313	5893	12876
314	5910	12852
315	5927	12830
316	5944	12807
317	5965	12793
318	5982	12770
319	6000	12750
320	6020	12734
321	6039	12717
322	6058	12698
323	6076	12678
324	6093	12656
325	6109	12632
326	6129	12614
327	6148	12597
328	6166	12576
329	6185	12558
330	6204	12540
331	6224	12523
332	6242	12502
333	6259	12481
334	6279	12465
335	6297	12445
336	6316	12426
337	6334	12405
338	6350	12382
339	6371	12368
340	6389	12347
341	6409	12331
342	6428	12312
343	6445	12290
344	6464	12273
345	6484	12256
346	6503	12238
347	6520	12216
348	6538	12195
349	6558	12179
350	6579	12165
351	6599	12148
352	6618	12131
353	6637	12112
354	6656	12094
355	6675	12075
356	6693	12056
357	6712	12037
358	6730	12017
359	6748	11996
360	6768	11980
361	6788	11964
362	6809	11949
363	6828	11931
364	6847	11912
365	6866	11893
366	6887	11879
367	6905	11859
368	6926	11844
369	6942	11820
370	6958	11796
371	6977	11779
372	6996	11760
373	7015	11743
374	7033	11722
375	7053	11705
376	7071	11686
377	7090	11668
378	7110	11650
379	7128	11630
380	7147	11612
381	7166	11593
382	7182	11570
383	7201	11552
384	7217	11529
385	7236	11511
386	7253	11490
387	7272	11470
388	7292	11454
389	7312	11437
390	7329	11416
391	7347	11395
392	7366	11377
393	7386	11360
394	7406	11344
395	7424	11324
396	7442	11303
397	7460	11284
398	7479	11266
399	7500	11250
